step,wall_s,loss,lr,seed,imgs_per_s,receptive_field_px,measurement_window_px,censored_frac,n_cells_total,n_cells_labeled,frac_thing_cells,frac_excluded_cells,mean_ell_thing,mean_ell_stuff,n_diag_images,auc_ell_acf,auc_ell_freq,auc_naive_acf_energy,auc_residual_magnitude,auc_ell_acf_stuck,auc_naive_stuck,auc_ell_acf_energetic,auc_naive_energetic
7400,2416.905,0.16594663262367249,0.0002605606788568735,0,588.4900201363341,,,,,,,,,,,,,,,,,,
7450,2433.749,0.16560059785842896,0.00025123157091461374,0,588.3616188977148,,,,,,,,,,,,,,,,,,
7500,2449.765,0.16624008119106293,0.00024203882128069436,0,588.4337445986029,,,,,,,,,,,,,,,,,,
7550,2486.771,0.17178675532341003,0.00023298494316107565,0,583.5325099541628,,,,,,,,,,,,,,,,,,
7600,2502.767,0.1625290811061859,0.00022407241179563355,0,583.6388859685147,,,,,,,,,,,,,,,,,,
7650,2519.449,0.16318026185035706,0.00021530366378145224,0,583.5846063655549,,,,,,,,,,,,,,,,,,
7700,2535.5,0.16712792217731476,0.0002066810964066833,0,583.6766169256051,,,,,,,,,,,,,,,,,,
7750,2552.347,0.16223716735839844,0.0001982070669951513,0,583.5852645315676,,,,,,,,,,,,,,,,,,
7800,2568.117,0.16554270684719086,0.00018988389226188483,0,583.7398094786888,,,,,,,,,,,,,,,,,,
7850,2584.173,0.1670461744070053,0.0001817138476797491,0,583.8280959855621,,,,,,,,,,,,,,,,,,
7900,2600.989,0.17066417634487152,0.0001736991668573559,0,583.7441937632893,,,,,,,,,,,,,,,,,,
7950,2616.995,0.16326281428337097,0.00016584204092841577,0,583.8423107973676,,,,,,,,,,,,,,,,,,
8000,2633.868,0.17895027995109558,0.0001581446179527049,0,583.7469638533113,,,,,,,,,,,,,,,,,,
8050,2649.615,0.16609926521778107,0.00015060900232880648,0,583.9010223066429,,,,,,,,,,,,,,,,,,
8100,2666.377,0.16794484853744507,0.0001432372542187895,0,583.830620909069,,,,,,,,,,,,,,,,,,
8150,2682.494,0.16214026510715485,0.00013603138898498075,0,583.9017512133821,,,,,,,,,,,,,,,,,,
8200,2699.306,0.16569368541240692,0.00012899337663898496,0,583.8212835518958,,,,,,,,,,,,,,,,,,
8250,2715.495,0.16619464755058289,0.0001221251413031036,0,583.8760326182518,,,,,,,,,,,,,,,,,,
8300,2732.32,0.16501127183437347,0.00011542856068429835,0,583.7942465537285,,,,,,,,,,,,,,,,,,
8350,2748.304,0.15947657823562622,0.00010890546556084565,0,583.892051885861,,,,,,,,,,,,,,,,,,
8400,2765.038,0.1669682413339615,0.00010255763928181958,0,583.8300452185202,,,,,,,,,,,,,,,,,,
8450,2780.364,0.16929541528224945,9.638681727954196e-05,0,584.0648993669024,,,,,,,,,,,,,,,,,,
8500,2796.424,0.1635233461856842,9.039468659513328e-05,0,584.1437553520568,,,,,,,,,,,,,,,,,,
8550,2813.248,0.162605419754982,8.458288541729115e-05,0,584.0626623743067,,,,,,,,,,,,,,,,,,
8600,2829.226,0.15600016713142395,7.89530026344274e-05,0,584.1574131653314,,,,,,,,,,,,,,,,,,
8650,2845.945,0.1686059683561325,7.350657740028082e-05,0,584.0988166316763,,,,,,,,,,,,,,,,,,
8700,2861.9,0.1705126166343689,6.824509871312812e-05,0,584.1970640344737,,,,,,,,,,,,,,,,,,
8750,2878.698,0.16217464208602905,6.317000500870688e-05,0,584.1227572829724,,,,,,,,,,,,,,,,,,
8800,2894.846,0.16922372579574585,5.828268376696144e-05,0,584.1808057023472,,,,,,,,,,,,,,,,,,
8850,2911.472,0.16388535499572754,5.358447113271977e-05,0,584.1420546529704,,,,,,,,,,,,,,,,,,
8900,2927.243,0.16193586587905884,4.9076651550404445e-05,0,584.2745796632802,,,,,,,,,,,,,,,,,,
8950,2943.824,0.17266975343227386,4.4760457412879124e-05,0,584.2446255565364,,,,,,,,,,,,,,,,,,
9000,2959.564,0.17147992551326752,4.063706872452402e-05,0,584.3813619502934,,,,,,,,,,,,,,,,,,
9050,2976.364,0.16330523788928986,3.6707612778634854e-05,0,584.3081265096204,,,,,,,,,,,,,,,,,,
9100,2991.876,0.16496649384498596,3.297316384923177e-05,0,584.487448091312,,,,,,,,,,,,,,,,,,
9150,3007.93,0.16170518100261688,2.9434742897363892e-05,0,584.5596352217168,,,,,,,,,,,,,,,,,,
9200,3024.89,0.165424183011055,2.6093317291988577e-05,0,584.4556277017733,,,,,,,,,,,,,,,,,,
9250,3040.724,0.16588102281093597,2.294980054550222e-05,0,584.569483700898,,,,,,,,,,,,,,,,,,
9300,3057.323,0.1688772588968277,2.0005052063995692e-05,0,584.5356090816255,,,,,,,,,,,,,,,,,,
9350,3073.227,0.16059142351150513,1.7259876912300547e-05,0,584.6345258475529,,,,,,,,,,,,,,,,,,
9400,3089.789,0.16673336923122406,1.4715025593892984e-05,0,584.6076562111955,,,,,,,,,,,,,,,,,,
9450,3105.534,0.1660630851984024,1.2371193845713224e-05,0,584.7351820087629,,,,,,,,,,,,,,,,,,
9500,3122.258,0.17022159695625305,1.0229022447958258e-05,0,584.6778260089279,,,,,,,,,,,,,,,,,,
9550,3138.143,0.16271930932998657,8.289097048898631e-06,0,584.7773076121774,,,,,,,,,,,,,,,,,,
9600,3154.866,0.1622348129749298,6.5519480047686044e-06,0,584.7204196360946,,,,,,,,,,,,,,,,,,
9650,3170.829,0.16329216957092285,5.018050234771393e-06,0,584.8044374507879,,,,,,,,,,,,,,,,,,
9700,3187.538,0.16404883563518524,3.687823091241438e-06,0,584.750684548968,,,,,,,,,,,,,,,,,,
9750,3202.923,0.16972118616104126,2.561630244997615e-06,0,584.9392686612973,,,,,,,,,,,,,,,,,,
9800,3219.026,0.16548483073711395,1.6397795859190988e-06,0,584.9953988243134,,,,,,,,,,,,,,,,,,
9850,3235.509,0.16143757104873657,9.225231387714473e-07,0,584.9822599807159,,,,,,,,,,,,,,,,,,
9900,3251.555,0.15916603803634644,4.100569943054633e-07,0,585.0479179865576,,,,,,,,,,,,,,,,,,
9950,3268.12,0.1728687882423401,1.0252125564824688e-07,0,585.019973466706,,,,,,,,,,,,,,,,,,
10000,3283.902,0.16078835725784302,0.0,0,585.1318902140529,,,,,,,,,,,,,,,,,,
10000,3290.127,,,0,,11.0,48,0.0,262144,236385,0.3218309114368509,0.09826278686523438,3.2271134853363037,3.2111103534698486,1024,0.510703205066164,0.5166474021013084,0.514294599965825,0.5675247641902664,0.48221814826455406,0.4768949924314016,0.5126787331516647,0.5140310006488072
